Player,Position,Nationality
Rúben Neves,Midfielder,Portugal
Rúben Vinagre,Defender,Portugal
John Ruddy,Goalkeeper,England
Antonio Rüdiger,Defender,Germany
Rui Patrício,Goalkeeper,Portugal
Will Russ,Forward,England
Mat Ryan,Goalkeeper,Australia
Ryan Sessegnon,Midfielder,England
Allan Saint-Maximin,Forward,France
Romain Saïss,Midfielder,Morocco
Henri Saivet,Midfielder,Senegal
Bukayo Saka,Forward,England
Mamadou Sakho,Defender,France
Bakary Sako,Midfielder,Mali
William Saliba,Defender,France
Austin Samuels,Forward,England
Robert Sánchez,Goalkeeper,Spain
Max Sanders,Midfielder,England
Dion Sanderson,Defender,England
Philippe Sandler,Defender,Netherlands
Leroy Sané,Forward,Germany
Matija Sarkic,Goalkeeper,Montenegro
Fabian SchÃ¤r,Defender,Switzerland
Ezequiel Schelotto,Defender,Italy
Jeffrey Schlupp,Defender,Ghana
Kasper Schmeichel,Goalkeeper,Denmark
Morgan Schneiderlin,Midfielder,France
Sean Longstaff,Midfielder,England
Ken Sema,Midfielder,Sweden
Joel Senior,Defender,England
Meritan Shabani,Midfielder,Germany
Xherdan Shaqiri,Forward,Switzerland
Billy Sharp,Forward,England
Luke Shaw,Defender,England
Jonjo Shelvey,Midfielder,England
Sam Sherring,Defender,England
Sheyi Ojo,Midfielder,England
Djibril Sidibé,Defender,France
Jack Simpson,Defender,England
Jerome Sinclair,Forward,England
